fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,fixed acidity (std),volatile acidity (norm),residual sugar (log),SO2 aggregate,pH (binned),alcohol (binary)
7.7,0.56,0.08,2.5,0.114,14.0,46.0,0.9971,3.24,0.66,9.6,6,-0.3558891411373163,0.30136986301369867,1.252762968495368,60.0,Medium,0
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,-0.29845406476685127,0.2602739726027397,0.9555114450274363,123.0,Medium,0
10.7,0.67,0.22,2.7,0.107,17.0,34.0,1.0004,3.28,0.98,9.9,6,1.3671631499766401,0.37671232876712335,1.308332819650179,51.0,Medium,0
8.5,0.46,0.31,2.25,0.078,32.0,58.0,0.998,3.33,0.54,9.8,5,0.10359146982640544,0.23287671232876714,1.1786549963416462,90.0,Medium,0
6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6,6,-0.9302399048419686,0.23287671232876714,0.9932517730102833,52.0,Medium,1
7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.997,3.44,0.52,9.4,5,-0.6430645229896425,0.19863013698630136,1.1314021114911006,107.0,Medium,0
7.7,0.54,0.26,1.9,0.089,23.0,147.0,0.99636,3.26,0.59,9.7,5,-0.3558891411373163,0.28767123287671237,1.0647107369924282,170.0,Medium,0
7.0,0.78,0.08,2.0,0.093,10.0,19.0,0.9956,3.4,0.47,10.0,5,-0.7579346757305729,0.452054794520548,1.0986122886681098,29.0,Medium,0
8.2,0.39,0.38,1.5,0.058,10.0,29.0,0.9962,3.26,0.74,9.8,5,-0.06871375928499066,0.18493150684931509,0.9162907318741551,39.0,Medium,0
5.8,0.61,0.11,1.8,0.066,18.0,28.0,0.99483,3.55,0.66,10.9,6,-1.4471555921761559,0.3356164383561644,1.0296194171811581,46.0,Medium,1
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,7,1.25229299723571,0.2671232876712329,1.2237754316221157,21.0,Low,1
